case_id,activity,lifecycle,resource,timestamp,amount,article,dismissal,expense,lastsent,matricola,notificationtype,paymentamount,points,totalpaymentamount,vehicleclass,activity_instance_id,.order
A13903,Create Fine,complete,559,2007-06-10,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8322,8322
A13903,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8323,8323
A13906,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8324,8324
A13906,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8325,8325
A13906,Insert Fine Notification,complete,NA,2007-08-31,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8326,8326
A13906,Add penalty,complete,NA,2007-10-30,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8327,8327
A13906,Payment,complete,NA,2007-10-31,NA,NA,NA,NA,NA,NA,NA,490,NA,49.0,NA,8328,8328
A13907,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8329,8329
A13907,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8330,8330
A13909,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8331,8331
A13909,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8332,8332
A13909,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8333,8333
A13909,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8334,8334
A13909,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8335,8335
A13911,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8336,8336
A13911,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8337,8337
A13911,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8338,8338
A13911,Insert Date Appeal to Prefecture,complete,NA,2007-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8339,8339
A13911,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8340,8340
A13911,Send Appeal to Prefecture,complete,NA,2007-11-30,NA,NA,#,NA,NA,NA,NA,NA,NA,NA,NA,8341,8341
A13912,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8342,8342
A13912,Send Fine,complete,NA,2007-12-10,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,8343,8343
A13913,Create Fine,complete,559,2007-06-10,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8344,8344
A13913,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8345,8345
A13913,Insert Fine Notification,complete,NA,2007-09-04,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8346,8346
A13913,Add penalty,complete,NA,2007-11-03,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8347,8347
A13913,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8348,8348
A13915,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8349,8349
A13915,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8350,8350
A13915,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8351,8351
A13915,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8352,8352
A13915,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8353,8353
A13916,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8354,8354
A13916,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8355,8355
A13918,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8356,8356
A13918,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8357,8357
A13918,Insert Fine Notification,complete,NA,2007-08-30,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8358,8358
A13918,Add penalty,complete,NA,2007-10-29,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8359,8359
A13918,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8360,8360
A13919,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8361,8361
A13919,Send Fine,complete,NA,2007-09-29,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,8362,8362
A13919,Insert Fine Notification,complete,NA,2007-10-12,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8363,8363
A13919,Add penalty,complete,NA,2007-12-11,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8364,8364
A13919,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8365,8365
A13920,Create Fine,complete,559,2007-06-10,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8366,8366
A13920,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8367,8367
A13920,Insert Fine Notification,complete,NA,2007-08-31,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8368,8368
A13920,Add penalty,complete,NA,2007-10-30,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8369,8369
A13920,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8370,8370
A13924,Create Fine,complete,559,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8371,8371
A13924,Payment,complete,NA,2007-06-15,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8372,8372
A13925,Create Fine,complete,559,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8373,8373
A13925,Send Fine,complete,NA,2007-12-10,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8374,8374
A13928,Create Fine,complete,559,2007-06-12,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8375,8375
A13928,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8376,8376
A13928,Insert Fine Notification,complete,NA,2007-09-08,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8377,8377
A13928,Add penalty,complete,NA,2007-11-07,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8378,8378
A13928,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8379,8379
A13929,Create Fine,complete,559,2007-06-12,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8380,8380
A13929,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8381,8381
A13929,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8382,8382
A13929,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8383,8383
A13929,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8384,8384
A1393,Create Fine,complete,559,2006-08-19,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8385,8385
A1393,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8386,8386
A1393,Insert Fine Notification,complete,NA,2006-12-22,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8387,8387
A1393,Add penalty,complete,NA,2007-02-20,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8388,8388
A1393,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8389,8389
A13930,Create Fine,complete,559,2007-06-12,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8390,8390
A13930,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8391,8391
A13930,Insert Fine Notification,complete,NA,2007-09-10,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8392,8392
A13930,Add penalty,complete,NA,2007-11-09,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8393,8393
A13930,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8394,8394
A13931,Create Fine,complete,559,2007-06-12,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8395,8395
A13931,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8396,8396
A13931,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8397,8397
A13931,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8398,8398
A13931,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8399,8399
A13933,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8400,8400
A13933,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8401,8401
A13933,Insert Fine Notification,complete,NA,2007-08-31,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8402,8402
A13933,Add penalty,complete,NA,2007-10-30,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8403,8403
A13933,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8404,8404
A13934,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8405,8405
A13934,Payment,complete,NA,2007-06-16,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8406,8406
A13936,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8407,8407
A13936,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8408,8408
A13937,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8409,8409
A13937,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8410,8410
A1394,Create Fine,complete,559,2006-08-19,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8411,8411
A1394,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8412,8412
A13941,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8413,8413
A13941,Payment,complete,NA,2007-06-21,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8414,8414
A13942,Create Fine,complete,559,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8415,8415
A13942,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8416,8416
A13942,Insert Fine Notification,complete,NA,2007-08-29,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8417,8417
A13942,Add penalty,complete,NA,2007-10-28,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8418,8418
A13942,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8419,8419
A13945,Create Fine,complete,559,2007-06-15,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8420,8420
A13945,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8421,8421
A13947,Create Fine,complete,559,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8422,8422
A13947,Payment,complete,NA,2007-06-21,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8423,8423
A13947,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8424,8424
A13947,Payment,complete,NA,2007-09-08,NA,NA,NA,NA,NA,NA,NA,130,NA,49.0,NA,8425,8425
A13949,Create Fine,complete,559,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8426,8426
A13949,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8427,8427
A13949,Insert Fine Notification,complete,NA,2007-09-08,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8428,8428
A13949,Add penalty,complete,NA,2007-11-07,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8429,8429
A13949,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8430,8430
A1395,Create Fine,complete,559,2006-08-20,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8431,8431
A1395,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8432,8432
A1395,Insert Fine Notification,complete,NA,2007-01-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8433,8433
A1395,Add penalty,complete,NA,2007-03-10,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8434,8434
A1395,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8435,8435
A13950,Create Fine,complete,559,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8436,8436
A13950,Payment,complete,NA,2007-06-16,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8437,8437
A13951,Create Fine,complete,561,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8438,8438
A13951,Send Fine,complete,NA,2007-10-31,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,8439,8439
A13951,Insert Fine Notification,complete,NA,2007-11-13,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8440,8440
A13951,Add penalty,complete,NA,2008-01-12,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8441,8441
A13951,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8442,8442
A13955,Create Fine,complete,561,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8443,8443
A13955,Payment,complete,NA,2007-06-12,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8444,8444
A13956,Create Fine,complete,561,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8445,8445
A13956,Payment,complete,NA,2007-06-21,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8446,8446
A13957,Create Fine,complete,561,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8447,8447
A13957,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8448,8448
A13957,Insert Fine Notification,complete,NA,2007-09-08,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8449,8449
A13957,Add penalty,complete,NA,2007-11-07,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8450,8450
A13957,Payment,complete,NA,2008-10-02,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,8451,8451
A13959,Create Fine,complete,561,2007-06-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8452,8452
A13959,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8453,8453
A13959,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8454,8454
A13959,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8455,8455
A13959,Payment,complete,NA,2008-10-15,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,8456,8456
A1396,Create Fine,complete,559,2006-08-20,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8457,8457
A1396,Payment,complete,NA,2006-08-23,NA,NA,NA,NA,NA,NA,NA,350,NA,35.0,NA,8458,8458
A13960,Create Fine,complete,561,2007-06-13,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8459,8459
A13960,Payment,complete,NA,2007-06-19,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8460,8460
A13962,Create Fine,complete,561,2007-06-13,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8461,8461
A13962,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8462,8462
A13962,Insert Fine Notification,complete,NA,2007-09-08,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8463,8463
A13962,Add penalty,complete,NA,2007-11-07,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8464,8464
A13962,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8465,8465
A13966,Create Fine,complete,561,2007-06-13,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8466,8466
A13966,Payment,complete,NA,2007-06-16,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8467,8467
A13972,Create Fine,complete,561,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8468,8468
A13972,Payment,complete,NA,2007-07-13,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8469,8469
A13974,Create Fine,complete,561,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8470,8470
A13974,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8471,8471
A13974,Insert Fine Notification,complete,NA,2007-09-08,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8472,8472
A13974,Add penalty,complete,NA,2007-11-07,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8473,8473
A13974,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8474,8474
A13975,Create Fine,complete,561,2007-06-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8475,8475
A13975,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8476,8476
A13975,Insert Fine Notification,complete,NA,2007-09-07,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8477,8477
A13975,Add penalty,complete,NA,2007-11-06,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8478,8478
A13975,Payment,complete,NA,2007-11-07,NA,NA,NA,NA,NA,NA,NA,490,NA,49.0,NA,8479,8479
A13979,Create Fine,complete,561,2007-06-16,360,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,8480,8480
A13979,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8481,8481
A13979,Insert Fine Notification,complete,NA,2007-09-07,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8482,8482
A13979,Add penalty,complete,NA,2007-11-06,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8483,8483
A13979,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8484,8484
A1398,Create Fine,complete,559,2006-08-20,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8485,8485
A1398,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8486,8486
A13982,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8487,8487
A13982,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8488,8488
A13982,Insert Fine Notification,complete,NA,2007-08-29,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8489,8489
A13982,Add penalty,complete,NA,2007-10-28,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8490,8490
A13982,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8491,8491
A13983,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8492,8492
A13983,Send Fine,complete,NA,2007-09-29,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,8493,8493
A13983,Insert Fine Notification,complete,NA,2007-10-12,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8494,8494
A13983,Add penalty,complete,NA,2007-12-11,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8495,8495
A13983,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8496,8496
A13984,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8497,8497
A13984,Send Fine,complete,NA,2007-08-22,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,8498,8498
A13984,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8499,8499
A13984,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,8500
A13984,Insert Date Appeal to Prefecture,complete,NA,2008-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8501,8501
A13984,Receive Result Appeal from Prefecture,complete,NA,2008-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8502,8502
A13984,Notify Result Appeal to Offender,complete,NA,2008-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8503,8503
A13984,Payment,complete,NA,2009-08-06,NA,NA,NA,NA,NA,NA,NA,980,NA,98.0,NA,8504,8504
A13984,Payment,complete,NA,2010-03-15,NA,NA,NA,NA,NA,NA,NA,980,NA,196.0,NA,8505,8505
A13985,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8506,8506
A13985,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8507,8507
A13985,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8508,8508
A13985,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8509,8509
A13985,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8510,8510
A13986,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8511,8511
A13986,Payment,complete,NA,2007-06-16,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8512,8512
A13987,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8513,8513
A13987,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8514,8514
A13988,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8515,8515
A13988,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8516,8516
A13989,Create Fine,complete,561,2007-06-16,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8517,8517
A13989,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8518,8518
A1399,Create Fine,complete,559,2006-08-20,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8519,8519
A1399,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8520,8520
A1399,Insert Fine Notification,complete,NA,2006-12-22,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8521,8521
A1399,Add penalty,complete,NA,2007-02-20,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8522,8522
A1399,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8523,8523
A13994,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8524,8524
A13994,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8525,8525
A13995,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8526,8526
A13995,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8527,8527
A13996,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8528,8528
A13996,Payment,complete,NA,2007-06-28,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,8529,8529
A13997,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8530,8530
A13997,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8531,8531
A13998,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8532,8532
A13998,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8533,8533
A13998,Insert Fine Notification,complete,NA,2007-09-07,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8534,8534
A13998,Add penalty,complete,NA,2007-11-06,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8535,8535
A13998,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8536,8536
A13999,Create Fine,complete,561,2007-06-17,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8537,8537
A13999,Send Fine,complete,NA,2007-08-22,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,8538,8538
A13999,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8539,8539
A13999,Add penalty,complete,NA,2007-10-27,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8540,8540
A13999,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8541,8541
A14,Create Fine,complete,561,2006-07-26,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8542,8542
A14,Send Fine,complete,NA,2006-12-05,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8543,8543
A1400,Create Fine,complete,559,2006-08-20,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8544,8544
A1400,Send Fine,complete,NA,2006-12-14,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,8545,8545
A1400,Insert Fine Notification,complete,NA,2007-01-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,8546,8546
A1400,Add penalty,complete,NA,2007-03-03,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8547,8547
